sample_id,strategy,timestamp,grid_x,grid_y,spacing_m,lon,lat
grid_sampling_0003_0005,grid_sampling,2026-01-26T02:07:28.517104,3,5,200,9.186342071308593,45.46057011884765
grid_sampling_0003_0006,grid_sampling,2026-01-26T02:07:28.517104,3,6,200,9.186342071308593,45.46268414261718
grid_sampling_0003_0007,grid_sampling,2026-01-26T02:07:28.517104,3,7,200,9.186342071308593,45.46479816638671
grid_sampling_0003_0008,grid_sampling,2026-01-26T02:07:28.517104,3,8,200,9.186342071308593,45.466912190156236
grid_sampling_0003_0009,grid_sampling,2026-01-26T02:07:28.517104,3,9,200,9.186342071308593,45.469026213925765
grid_sampling_0004_0001,grid_sampling,2026-01-26T02:07:28.517104,4,1,200,9.188456095078124,45.45211402376953
grid_sampling_0004_0002,grid_sampling,2026-01-26T02:07:28.517104,4,2,200,9.188456095078124,45.45422804753906
grid_sampling_0004_0003,grid_sampling,2026-01-26T02:07:28.517104,4,3,200,9.188456095078124,45.45634207130859
grid_sampling_0004_0004,grid_sampling,2026-01-26T02:07:28.517104,4,4,200,9.188456095078124,45.45845609507812
grid_sampling_0004_0005,grid_sampling,2026-01-26T02:07:28.517104,4,5,200,9.188456095078124,45.46057011884765
grid_sampling_0004_0006,grid_sampling,2026-01-26T02:07:28.517104,4,6,200,9.188456095078124,45.46268414261718
grid_sampling_0004_0007,grid_sampling,2026-01-26T02:07:28.517104,4,7,200,9.188456095078124,45.46479816638671
grid_sampling_0004_0008,grid_sampling,2026-01-26T02:07:28.517104,4,8,200,9.188456095078124,45.466912190156236
grid_sampling_0004_0009,grid_sampling,2026-01-26T02:07:28.517104,4,9,200,9.188456095078124,45.469026213925765
grid_sampling_0005_0001,grid_sampling,2026-01-26T02:07:28.517104,5,1,200,9.190570118847655,45.45211402376953
grid_sampling_0005_0002,grid_sampling,2026-01-26T02:07:28.517104,5,2,200,9.190570118847655,45.45422804753906
grid_sampling_0005_0003,grid_sampling,2026-01-26T02:07:28.517104,5,3,200,9.190570118847655,45.45634207130859
grid_sampling_0005_0004,grid_sampling,2026-01-26T02:07:28.517104,5,4,200,9.190570118847655,45.45845609507812
